keys;en;pt
Cut;Cut;Recortar
Copy;Copy;Copiar
Paste;Paste;Colar
Select All;Select all;Selecionar tudo
Clear;Clear;Limpar
Undo;Undo;Desfazer
Redo;Redo;Refazer
Help;Help;Ajuda
Credits;Credits;Créditos
License;License;Licença
Version;Version;Versão
Source code;Source code;Código fonte
Home page;Home page;Página inicial
Learn more about NinStar;Learn more about NinStar;Saiba mais sobre NinStar
Connected;Connected;Conectado
Connecting...;Connecting...;Conectando...
Disconnected;Disconnected;Desconectado
Connect to Discord;Connect to Discord;Conectar ao Discord
Apply status on Discord;Apply status on Discord;Aplicar status no Discord
No pending changes;No pending changes;Nenhuma alteração pendente
Status visibility;Status visibility;Visibilidade do status
Recent;Recent;Recente
Visibility;Visibility;Visibilidade
About;About;Sobre
Update app;Update app;Atualizar aplicativo
Settings;Settings;Configurações
Platforms;Platforms;Plataformas
Details;Details;Detalhes
Games;Games;Jogos
Game system;Game system;Sistema de jogos
Wii U;Wii U;Wii U
Nintendo Switch;Nintendo Switch;Nintendo Switch
Nintendo 3DS;Nintendo 3DS;Nintendo 3DS
Preferred region;Preferred region;Região de preferência
Americas;Americas;Américas
Europe;Europe;Europa
Japan;Japan;Japão
Verified games;Verified games;Jogos verificados
Verified games will display a title and icon according to the selected region.;Verified games will display a title and\nicon according to the selected region.;Jogos verificados exibirão um título e\num ícone de acordo com a região selecionada.
Nintendo Network ID;Nintendo Network ID;ID da Nintendo Network
Friend Code;Friend Code;Código de amigo (FC)
Always display ID as an icon;Always display ID as an icon;Sempre exibir o ID como um ícone
It ensures that your ID or Friend Code is always shown as a small icon next to the icon of the game you are playing. Even when you don’t have a description set.;It ensures that your ID or Friend Code is always shown as a small icon next to the icon of the game you are playing. Even when you don’t have a description set.;Garante que seu ID ou Friend Code seja sempre mostrado como um pequeno ícone ao lado do ícone do jogo que você está jogando. Mesmo quando você não tem uma descrição definida.
Display elapsed time;Display elapsed time;Exibir tempo decorrido
Preserve elapsed time;Preserve elapsed time;Preservar tempo decorrido
Your elapsed won’t be reseted when changing games.;Your elapsed won’t be reseted when changing games.;Seu tempo decorrido não será redefinido ao alternar jogos.
Search button on status;Search button on status;Botão de pesquisa no status
